,HOTEL_NAME,HOTEL_URL
94,Fraser Suites Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d625726-Reviews-Fraser_Suites_Sydney-Sydney_New_South_Wales.html
95,The Russell Hotel,https://www.tripadvisor.in/Hotel_Review-g255060-d258459-Reviews-The_Russell_Hotel-Sydney_New_South_Wales.html
96,Ovolo 1888 Darling Harbour,https://www.tripadvisor.in/Hotel_Review-g255060-d3795038-Reviews-Ovolo_1888_Darling_Harbour-Sydney_New_South_Wales.html
97,The Darling,https://www.tripadvisor.in/Hotel_Review-g255060-d2332600-Reviews-The_Darling-Sydney_New_South_Wales.html
98,Holiday Inn Darling Harbour,https://www.tripadvisor.in/Hotel_Review-g255060-d255396-Reviews-Holiday_Inn_Darling_Harbour-Sydney_New_South_Wales.html
99,Four Seasons Hotel Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d256544-Reviews-Four_Seasons_Hotel_Sydney-Sydney_New_South_Wales.html
100,Adina Apartment Hotel Sydney Surry Hills,https://www.tripadvisor.in/Hotel_Review-g255060-d257875-Reviews-Adina_Apartment_Hotel_Sydney_Surry_Hills-Sydney_New_South_Wales.html
101,Coogee Sands Hotel & Apartments,https://www.tripadvisor.in/Hotel_Review-g261609-d258260-Reviews-Coogee_Sands_Hotel_Apartments-Coogee_Randwick_Greater_Sydney_New_South_Wales.html
102,Big Hostel,https://www.tripadvisor.in/Hotel_Review-g255060-d577523-Reviews-Big_Hostel-Sydney_New_South_Wales.html
103,Quest Manly,https://www.tripadvisor.in/Hotel_Review-g552103-d263596-Reviews-Quest_Manly-Manly_Greater_Sydney_New_South_Wales.html
104,Macleay Hotel,https://www.tripadvisor.in/Hotel_Review-g255060-d256576-Reviews-Macleay_Hotel-Sydney_New_South_Wales.html
105,Song Hotel Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d1523597-Reviews-Song_Hotel_Sydney-Sydney_New_South_Wales.html
106,790 on George,https://www.tripadvisor.in/Hotel_Review-g255060-d816162-Reviews-790_on_George-Sydney_New_South_Wales.html
107,Sydney Harbour YHA,https://www.tripadvisor.in/Hotel_Review-g255060-d1590454-Reviews-Sydney_Harbour_YHA-Sydney_New_South_Wales.html
108,Central Railway Hotel,https://www.tripadvisor.in/Hotel_Review-g255060-d256534-Reviews-Central_Railway_Hotel-Sydney_New_South_Wales.html
109,The Sebel Manly Beach,https://www.tripadvisor.in/Hotel_Review-g552103-d258084-Reviews-The_Sebel_Manly_Beach-Manly_Greater_Sydney_New_South_Wales.html
110,Railway Square YHA,https://www.tripadvisor.in/Hotel_Review-g255060-d546247-Reviews-Railway_Square_YHA-Sydney_New_South_Wales.html
111,Jolly Swagman Backpackers,https://www.tripadvisor.in/Hotel_Review-g255060-d259223-Reviews-Jolly_Swagman_Backpackers-Sydney_New_South_Wales.html
112,Manly Guest House,https://www.tripadvisor.in/Hotel_Review-g552103-d599794-Reviews-Manly_Guest_House-Manly_Greater_Sydney_New_South_Wales.html
113,Wake Up! Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d286374-Reviews-Wake_Up_Sydney-Sydney_New_South_Wales.html
114,Metro Apartments on King,https://www.tripadvisor.in/Hotel_Review-g255060-d1656532-Reviews-Metro_Apartments_on_King-Sydney_New_South_Wales.html
115,Alishan International Guest House,https://www.tripadvisor.in/Hotel_Review-g255060-d259202-Reviews-Alishan_International_Guest_House-Sydney_New_South_Wales.html
116,Bondi 38 Serviced Apartments,https://www.tripadvisor.in/Hotel_Review-g947961-d6161114-Reviews-Bondi_38_Serviced_Apartments-Bondi_Greater_Sydney_New_South_Wales.html
117,Zing Backpackers,https://www.tripadvisor.in/Hotel_Review-g255060-d286385-Reviews-Zing_Backpackers-Sydney_New_South_Wales.html
118,Watsons Bay Boutique Hotel,https://www.tripadvisor.in/Hotel_Review-g552124-d754706-Reviews-Watsons_Bay_Boutique_Hotel-Watsons_Bay_Woollahra_New_South_Wales.html
119,Hotel Coronation,https://www.tripadvisor.in/Hotel_Review-g255060-d549592-Reviews-Hotel_Coronation-Sydney_New_South_Wales.html
120,"Meriton Suites Campbell Street, Sydney",https://www.tripadvisor.in/Hotel_Review-g255060-d2183915-Reviews-Meriton_Suites_Campbell_Street_Sydney-Sydney_New_South_Wales.html
121,"Meriton Suites World Tower, Sydney",https://www.tripadvisor.in/Hotel_Review-g255060-d489096-Reviews-Meriton_Suites_World_Tower_Sydney-Sydney_New_South_Wales.html
122,Darlo Bar Darlinghurst,https://www.tripadvisor.in/Hotel_Review-g255060-d618236-Reviews-Darlo_Bar_Darlinghurst-Sydney_New_South_Wales.html
123,Simpsons of Potts Point Hotel,https://www.tripadvisor.in/Hotel_Review-g255060-d257312-Reviews-Simpsons_of_Potts_Point_Hotel-Sydney_New_South_Wales.html
124,Southern Cross Hotel,https://www.tripadvisor.in/Hotel_Review-g1165139-d3630688-Reviews-Southern_Cross_Hotel-St_Peters_New_South_Wales.html
125,Sinclair's of Surry Hills Budget Accommodation,https://www.tripadvisor.in/Hotel_Review-g255060-d570002-Reviews-Sinclair_s_of_Surry_Hills_Budget_Accommodation-Sydney_New_South_Wales.html
